Component,testmetric,unit,ptopo,ltopo,baseline,,"Values for different builds",,,,,,,,,,,,,,
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay.teaming,17.87,,16.93,17.32,19.26,18.09,20.94,22.49,16.49,16.48,18.21,21.07,27.55,22.11,25.51,20.13,17.87
ESX-DP,test_tcp_stream_vm1_m16k_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay.teaming,27.76,,28,27.82,30.42,28.41,31.8,30.13,27.78,27.31,28.94,31.44,37.69,31.62,33.6,28.19,27.76
ESX-DP,test_tcp_stream_vm1_m64_mbps,mbps,hv-hv,T1-T0.overlay.teaming,112.72,,112.64,107.39,111.18,117.42,112.08,113.2,111.34,113.09,116.68,112.52,91.59,86.48,110.76,106.69,112.72
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay.teaming,2249.52,,2206,2191,2229,2521,2248,2270,2236,2181,2593,2248,3352,3087,2781,2411,2250
ESX-DP,test_tcp_stream_vm1_m64_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay.teaming,1875.45,,1852,1818,1852,2165,1879,1864,1836,1848,2249,1849,3166,2532,2521,2011,1875
ESX-DP,test_tcp_stream_vm8_m16k_mbps,mbps,hv-hv,T1-T0.overlay.teaming,17956.69,,17920,17845,17874,18049,18002,17942,17824,18079,18047,17819,17990,17945,17955,18022,17957
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay.teaming,34.55,,36.76,37.43,34.97,37.62,39.32,34.62,36.4,39.71,38.07,39.27,38.43,36.38,38.54,34.29,34.55
ESX-DP,test_tcp_stream_vm8_m16k_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay.teaming,68.88,,73.35,73.63,68.71,79.21,76.49,68.07,70.69,76.63,77.46,79.1,81.61,71.45,79.46,71.64,68.88
ESX-DP,test_tcp_stream_vm8_m64_mbps,mbps,hv-hv,T1-T0.overlay.teaming,565.72,,554.65,559.37,563.82,532.27,552.21,568.35,560,552.95,531.24,544.34,414.97,438.44,502.14,532.72,565.72
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host0,NCpu,hv-hv,T1-T0.overlay.teaming,2319.17,,2317,2337,2265,2569,2412,2282,2262,2404,2626,2411,3571,3246,2827,2424,2319
ESX-DP,test_tcp_stream_vm8_m64_NCpu_Host1,NCpu,hv-hv,T1-T0.overlay.teaming,1985.73,,2019,2000,2009,2277,2018,1989,1968,2053,2274,2026,3092,2714,2488,2214,1986
ESX-DP,test_tcp_rr_vm1_tps,tps,hv-hv,T1-T0.overlay.teaming,40706.66,,40547,40284,40270,41278,40533,40740,40425,40298,41333,40824,32600,29167,39286,34076,40707
ESX-DP,test_tcp_rr_vm8_tps,tps,hv-hv,T1-T0.overlay.teaming,192302.62,,186827,188803,189715,180672,188648,190681,186287,191952,180711,187414,153751,162456,168087,178893,192303
